stage	measurement	size_mm
III	cdd_preserved	1.91
II	cdd_preserved	1.253
II	cdd_preserved	1.103
II	cdd_preserved	0.856
II	cdd_preserved	1.034
II	cdd_preserved	1.194
III	cdd_preserved	1.504
II	cdd_preserved	1.184
II	cdd_preserved	1.312
II	cdd_preserved	1.191
II	cdd_preserved	1.168
I	cdd_preserved	0.848
III	cdd_preserved	2.006
III	cdd_preserved	1.692
IV	cdd_preserved	2.693
IV	cdd_preserved	2.634
III	cdd_preserved	1.861
IV	cdd_preserved	3.07
III	cdd_preserved	2.119
III	cdd_preserved	2.071
IV	cdd_preserved	2.634
III	cdd_preserved	1.674
III	cdd_preserved	2.055
III	cdd_preserved	2.116
III	cdd_preserved	1.784
III	cdd_preserved	2.342
III	cdd_preserved	1.895
III	cdd_preserved	2.101
III	cdd_preserved	1.64
III	cdd_preserved	1.573
III	cdd_preserved	1.936
III	cdd_preserved	1.81
III	cdd_preserved	1.891
II	cdd_preserved	1.349
IV	cdd_preserved	2.741
III	cdd_preserved	2.142
III	cdd_preserved	1.893
III	cdd_preserved	1.843
II	cdd_preserved	1.15
III	cdd_preserved	1.649
II	cdd_preserved	1.188
III	cdd_preserved	2.113
III	cdd_preserved	2.274
IV	cdd_preserved	3.308
IV	cdd_preserved	3.008
III	cdd_preserved	1.809
III	cdd_preserved	1.867
III	cdd_preserved	1.986
IV	cdd_preserved	3.13
III	cdd_preserved	2.048
III	cdd_preserved	1.806
III	cdd_preserved	1.966
III	cdd_preserved	2.263
III	cdd_preserved	1.619
III	cdd_preserved	2.041
III	cdd_preserved	2.487
III	cdd_preserved	2.501
III	cdd_preserved	2.147
III	cdd_preserved	1.897
III	cdd_preserved	1.725
III	cdd_preserved	1.898
III	cdd_preserved	2.399
III	cdd_preserved	1.634
III	cdd_preserved	1.796
III	cdd_preserved	2.015
III	cdd_preserved	1.713
III	cdd_preserved	1.976
II	cdd_preserved	1.122
III	cdd_preserved	2.4
IV	cdd_preserved	4.037
IV	cdd_preserved	3.854
III	cdd_preserved	1.55
III	cdd_preserved	2.122
III	cdd_preserved	2.414
III	cdd_preserved	2.378
IV	cdd_preserved	3.263
IV	cdd_preserved	3.513
III	cdd_preserved	1.73
III	cdd_preserved	2.293
III	cdd_preserved	2.289
III	cdd_preserved	1.953
IV	cdd_preserved	3.249
III	cdd_preserved	1.739
II	cdd_preserved	1.121
III	cdd_preserved	2.414
III	cdd_preserved	2.303
III	cdd_preserved	2.079
III	cdd_preserved	1.908
III	cdd_preserved	1.47
III	cdd_preserved	1.75
III	cdd_preserved	2.063
III	cdd_preserved	2.281
IV	cdd_preserved	3.201
III	cdd_preserved	1.994
IV	cdd_preserved	3.557
III	cdd_preserved	1.829
III	cdd_preserved	1.832
IV	cdd_preserved	4.123
III	cdd_preserved	2.584
III	cdd_preserved	2.232
II	cdd_preserved	1.092
III	cdd_preserved	2.028
II	cdd_preserved	1.023
III	cdd_preserved	1.732
III	cdd_preserved	2.186
III	cdd_preserved	1.895
III	cdd_preserved	1.854
III	cdd_preserved	1.931
I	cdd_preserved	0.798
II	cdd_preserved	1.214
II	cdd_preserved	1.195
II	cdd_preserved	1.248
I	cdd_preserved	0.95
II	cdd_preserved	1.271
II	cdd_preserved	1.207
III	cdd_preserved	1.692
III	cdd_preserved	2.109
III	cdd_preserved	2.048
III	cdd_preserved	2.048
III	cdd_preserved	1.645
III	cdd_preserved	2.088
III	cdd_preserved	1.686
III	cdd_preserved	2.225
III	cdd_preserved	2.167
III	cdd_preserved	1.967
I	cdd_preserved	0.678
II	cdd_preserved	1.02
III	cdd_preserved	1.986
II	cdd_preserved	1.109
II	cdd_preserved	1.036
III	cdd_preserved	1.793
III	cdd_preserved	1.957
III	cdd_preserved	1.937
III	cdd_preserved	1.938
III	cdd_preserved	1.568
III	cdd_preserved	2.073
III	cdd_preserved	1.674
III	cdd_preserved	1.936
II	cdd_preserved	1.099
II	cdd_preserved	1.14
II	cdd_preserved	1.155
II	cdd_preserved	1.096
III	cdd_preserved	2.022
III	cdd_preserved	1.847
II	cdd_preserved	1.217
II	cdd_preserved	1.147
I	cdd_preserved	0.983
I	cdd_preserved	0.762
II	cdd_preserved	1.379
III	cdd_preserved	2.682
III	cdd_preserved	2.041
III	cdd_preserved	2.351
III	cdd_preserved	1.951
III	cdd_preserved	1.679
III	cdd_preserved	2.033
II	cdd_preserved	1.869
II	cdd_preserved	1.222
I	cdd_preserved	0.642
III	cdd_preserved	2.106
I	cdd_preserved	0.726
II	cdd_preserved	1.137
III	cdd_preserved	1.698
III	cdd_preserved	1.888
II	cdd_preserved	1.043
